city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Chittagong,05-03-2010,Bangladesh,England,Zohur Ahmed Chowdhury Stadium,Bangladesh,field,45,0,England
Guyana,04-03-2010,West Indies,Zimbabwe,Providence Stadium,Zimbabwe,bat,2,0,Zimbabwe
Napier,03-03-2010,New Zealand,Australia,McLean Park,Australia,bat,0,2,New Zealand
Mirpur,02-03-2010,Bangladesh,England,Shere Bangla National Stadium,England,field,0,2,England
Mirpur,28-02-2010,Bangladesh,England,Shere Bangla National Stadium,England,field,0,6,England
Ahmedabad,27-02-2010,India,South Africa,"Sardar Patel Stadium, Motera",South Africa,bat,90,0,South Africa
Gwalior,24-02-2010,India,South Africa,Captain Roop Singh Stadium,India,bat,153,0,India
Jaipur,21-02-2010,India,South Africa,Sawai Mansingh Stadium,South Africa,field,1,0,India
,19-02-2010,Australia,West Indies,Melbourne Cricket Ground,Australia,bat,125,0,Australia
Brisbane,14-02-2010,Australia,West Indies,"Brisbane Cricket Ground, Woolloongabba",West Indies,field,50,0,Australia
,12-02-2010,Australia,West Indies,Sydney Cricket Ground,West Indies,field,0,0,
Christchurch,11-02-2010,New Zealand,Bangladesh,AMI Stadium,New Zealand,field,0,3,New Zealand
,09-02-2010,Australia,West Indies,Adelaide Oval,West Indies,bat,0,8,Australia
Dunedin,08-02-2010,New Zealand,Bangladesh,University Oval,New Zealand,field,0,5,New Zealand
,07-02-2010,Australia,West Indies,Melbourne Cricket Ground,West Indies,field,113,0,Australia
Napier,05-02-2010,New Zealand,Bangladesh,McLean Park,New Zealand,bat,146,0,New Zealand
Perth,31-01-2010,Australia,Pakistan,Western Australia Cricket Association Ground,Pakistan,bat,0,2,Australia
Perth,29-01-2010,Australia,Pakistan,Western Australia Cricket Association Ground,Australia,bat,135,0,Australia
,26-01-2010,Australia,Pakistan,Adelaide Oval,Australia,bat,40,0,Australia
,24-01-2010,Australia,Pakistan,Sydney Cricket Ground,Pakistan,field,140,0,Australia
Brisbane,22-01-2010,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Pakistan,bat,0,5,Australia
Mirpur,13-01-2010,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,0,4,Sri Lanka
Mirpur,11-01-2010,Bangladesh,India,Shere Bangla National Stadium,India,field,0,6,India
Mirpur,10-01-2010,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,bat,0,8,India
Mirpur,08-01-2010,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,0,9,Sri Lanka
Mirpur,07-01-2010,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,bat,0,6,India
Mirpur,05-01-2010,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,0,5,Sri Lanka
Mirpur,04-01-2010,Bangladesh,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,0,7,Sri Lanka
Delhi,27-12-2009,India,Sri Lanka,Feroz Shah Kotla,India,field,0,0,
Kolkata,24-12-2009,India,Sri Lanka,Eden Gardens,Sri Lanka,bat,0,7,India
Cuttack,21-12-2009,India,Sri Lanka,Barabati Stadium,Sri Lanka,bat,0,7,India
Nagpur,18-12-2009,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,bat,0,3,Sri Lanka
Rajkot,15-12-2009,India,Sri Lanka,Madhavrao Scindia Cricket Ground,Sri Lanka,field,3,0,India
Port Elizabeth,29-11-2009,South Africa,England,St George's Park,South Africa,bat,0,7,England
