city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Mount Maunganui,26-01-2019,New Zealand,India,Bay Oval,India,bat,90,0,India
Dubai,25-01-2019,United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,field,0,3,United Arab Emirates
Centurion,25-01-2019,South Africa,Pakistan,SuperSport Park,Pakistan,bat,13,0,South Africa
Napier,23-01-2019,New Zealand,India,McLean Park,New Zealand,bat,0,8,India
Durban,22-01-2019,South Africa,Pakistan,Kingsmead,South Africa,field,0,5,South Africa
Port Elizabeth,19-01-2019,South Africa,Pakistan,St George's Park,South Africa,bat,0,5,Pakistan
Melbourne,18-01-2019,Australia,India,Melbourne Cricket Ground,India,field,0,7,India
Adelaide,15-01-2019,Australia,India,Adelaide Oval,Australia,bat,0,6,India
Sydney,12-01-2019,Australia,India,Sydney Cricket Ground,Australia,bat,34,0,Australia
Nelson,08-01-2019,New Zealand,Sri Lanka,Saxton Oval,Sri Lanka,field,115,0,New Zealand
Mount Maunganui,05-01-2019,New Zealand,Sri Lanka,Bay Oval,New Zealand,bat,21,0,New Zealand
Mount Maunganui,03-01-2019,New Zealand,Sri Lanka,Bay Oval,New Zealand,bat,45,0,New Zealand
Sylhet,14-12-2018,Bangladesh,West Indies,Sylhet International Cricket Stadium,Bangladesh,field,0,8,Bangladesh
Dhaka,11-12-2018,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",West Indies,field,0,4,West Indies
Dhaka,09-12-2018,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",West Indies,bat,0,5,Bangladesh
Hobart,11-11-2018,South Africa,Australia,Bellerive Oval,Australia,field,40,0,South Africa
,11-11-2018,Pakistan,New Zealand,Dubai International Cricket Stadium,Pakistan,bat,0,0,
Abu Dhabi,09-11-2018,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,0,6,Pakistan
,09-11-2018,Australia,South Africa,Adelaide Oval,South Africa,field,7,0,Australia
Abu Dhabi,07-11-2018,New Zealand,Pakistan,Sheikh Zayed Stadium,New Zealand,bat,47,0,New Zealand
,04-11-2018,Australia,South Africa,Perth Stadium,South Africa,field,0,6,South Africa
Thiruvananthapuram,01-11-2018,West Indies,India,Greenfield International Stadium,West Indies,bat,0,9,India
Mumbai,29-10-2018,India,West Indies,Brabourne Stadium,India,bat,224,0,India
Pune,27-10-2018,West Indies,India,Maharashtra Cricket Association Stadium,India,field,43,0,West Indies
Chattogram,26-10-2018,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,0,7,Bangladesh
Visakhapatnam,24-10-2018,India,West Indies,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,bat,0,0,
Chattogram,24-10-2018,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,Bangladesh,field,0,7,Bangladesh
Colombo,23-10-2018,Sri Lanka,England,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,219,0,Sri Lanka
Guwahati,21-10-2018,West Indies,India,Barsapara Cricket Stadium,India,field,0,8,India
Dhaka,21-10-2018,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,28,0,Bangladesh
,20-10-2018,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,18,0,England
,17-10-2018,Sri Lanka,England,Pallekele International Cricket Stadium,England,field,0,7,England
,13-10-2018,England,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,31,0,England
,10-10-2018,England,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,0,0,
Paarl,06-10-2018,Zimbabwe,South Africa,Boland Park,Zimbabwe,bat,0,4,South Africa
Bloemfontein,03-10-2018,South Africa,Zimbabwe,Mangaung Oval,South Africa,bat,120,0,South Africa
Kimberley,30-09-2018,Zimbabwe,South Africa,Diamond Oval,South Africa,field,0,5,South Africa
,28-09-2018,Bangladesh,India,Dubai International Cricket Stadium,India,field,0,3,India
Abu Dhabi,26-09-2018,Bangladesh,Pakistan,Sheikh Zayed Stadium,Bangladesh,bat,37,0,Bangladesh
,25-09-2018,Afghanistan,India,Dubai International Cricket Stadium,Afghanistan,bat,0,0,
Abu Dhabi,23-09-2018,Bangladesh,Afghanistan,Sheikh Zayed Stadium,Bangladesh,bat,3,0,Bangladesh
,23-09-2018,Pakistan,India,Dubai International Cricket Stadium,Pakistan,bat,0,9,India
,21-09-2018,Bangladesh,India,Dubai International Cricket Stadium,India,field,0,7,India
Abu Dhabi,21-09-2018,Afghanistan,Pakistan,Sheikh Zayed Stadium,Afghanistan,bat,0,3,Pakistan
Abu Dhabi,20-09-2018,Afghanistan,Bangladesh,Sheikh Zayed Stadium,Afghanistan,bat,136,0,Afghanistan
,19-09-2018,Pakistan,India,Dubai International Cricket Stadium,Pakistan,bat,0,8,India
,18-09-2018,India,Hong Kong,Dubai International Cricket Stadium,Hong Kong,field,26,0,India
Abu Dhabi,17-09-2018,Afghanistan,Sri Lanka,Sheikh Zayed Stadium,Afghanistan,bat,91,0,Afghanistan
,16-09-2018,Hong Kong,Pakistan,Dubai International Cricket Stadium,Hong Kong,bat,0,8,Pakistan
,15-09-2018,Bangladesh,Sri Lanka,Dubai International Cricket Stadium,Bangladesh,bat,137,0,Bangladesh
Belfast,31-08-2018,Ireland,Afghanistan,"Civil Service Cricket Club, Stormont",Ireland,bat,0,8,Afghanistan
Kuala Lumpur,30-08-2018,United Arab Emirates,Nepal,Kinrara Academy Oval,Nepal,field,78,0,United Arab Emirates
Belfast,29-08-2018,Afghanistan,Ireland,"Civil Service Cricket Club, Stormont",Afghanistan,bat,0,3,Ireland
Belfast,27-08-2018,Afghanistan,Ireland,"Civil Service Cricket Club, Stormont",Ireland,field,29,0,Afghanistan
Colombo,12-08-2018,Sri Lanka,South Africa,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,178,0,Sri Lanka
,08-08-2018,Sri Lanka,South Africa,Pallekele International Cricket Stadium,South Africa,field,3,0,Sri Lanka
,05-08-2018,South Africa,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,field,78,0,South Africa
,01-08-2018,Sri Lanka,South Africa,Rangiri Dambulla International Stadium,Sri Lanka,bat,0,4,South Africa
,29-07-2018,Sri Lanka,South Africa,Rangiri Dambulla International Stadium,Sri Lanka,bat,0,5,South Africa
St Kitts,28-07-2018,Bangladesh,West Indies,"Warner Park, Basseterre",Bangladesh,bat,18,0,Bangladesh
Guyana,25-07-2018,West Indies,Bangladesh,Providence Stadium,Bangladesh,field,3,0,West Indies
Bulawayo,22-07-2018,Pakistan,Zimbabwe,Queens Sports Club,Pakistan,bat,131,0,Pakistan
Guyana,22-07-2018,Bangladesh,West Indies,Providence Stadium,Bangladesh,bat,48,0,Bangladesh
Bulawayo,20-07-2018,Pakistan,Zimbabwe,Queens Sports Club,Pakistan,bat,244,0,Pakistan
Bulawayo,18-07-2018,Zimbabwe,Pakistan,Queens Sports Club,Zimbabwe,bat,0,9,Pakistan
Leeds,17-07-2018,India,England,Headingley,England,field,0,8,England
Bulawayo,16-07-2018,Zimbabwe,Pakistan,Queens Sports Club,Zimbabwe,bat,0,9,Pakistan
London,14-07-2018,England,India,Lord's,England,bat,86,0,England
Bulawayo,13-07-2018,Pakistan,Zimbabwe,Queens Sports Club,Zimbabwe,field,201,0,Pakistan
Nottingham,12-07-2018,England,India,Trent Bridge,India,field,0,8,India
Manchester,24-06-2018,Australia,England,Old Trafford,Australia,bat,0,1,England
Chester-le-Street,21-06-2018,Australia,England,Riverside Ground,Australia,bat,0,6,England
Nottingham,19-06-2018,England,Australia,Trent Bridge,Australia,field,242,0,England
Cardiff,16-06-2018,England,Australia,Sophia Gardens,Australia,field,38,0,England
London,13-06-2018,Australia,England,Kennington Oval,Australia,bat,0,3,England
,25-03-2018,West Indies,Afghanistan,Harare Sports Club,West Indies,bat,0,7,Afghanistan
,23-03-2018,Ireland,Afghanistan,Harare Sports Club,Ireland,bat,0,5,Afghanistan
,22-03-2018,United Arab Emirates,Zimbabwe,Harare Sports Club,Zimbabwe,field,3,0,United Arab Emirates
,21-03-2018,West Indies,Scotland,Harare Sports Club,Scotland,field,5,0,West Indies
Harare,20-03-2018,United Arab Emirates,Afghanistan,Old Hararians,United Arab Emirates,bat,0,5,Afghanistan
,19-03-2018,Zimbabwe,West Indies,Harare Sports Club,Zimbabwe,bat,0,4,West Indies
,18-03-2018,Ireland,Scotland,Harare Sports Club,Scotland,field,25,0,Ireland
Harare,17-03-2018,Papua New Guinea,Hong Kong,Old Hararians,Papua New Guinea,bat,58,0,Papua New Guinea
,16-03-2018,Zimbabwe,Ireland,Harare Sports Club,Ireland,field,107,0,Zimbabwe
,15-03-2018,West Indies,Afghanistan,Harare Sports Club,West Indies,bat,0,3,Afghanistan
Bulawayo,15-03-2018,Scotland,United Arab Emirates,Queens Sports Club,Scotland,bat,73,0,Scotland
Harare,12-03-2018,Ireland,United Arab Emirates,Old Hararians,United Arab Emirates,field,226,0,Ireland
Bulawayo,12-03-2018,Zimbabwe,Scotland,Queens Sports Club,Zimbabwe,bat,0,0,
,10-03-2018,West Indies,Ireland,Harare Sports Club,Ireland,field,52,0,West Indies
Christchurch,10-03-2018,New Zealand,England,Hagley Oval,England,field,0,7,England
Bulawayo,10-03-2018,Zimbabwe,Hong Kong,Queens Sports Club,Hong Kong,field,89,0,Zimbabwe
Harare,08-03-2018,Papua New Guinea,West Indies,Old Hararians,Papua New Guinea,bat,0,6,West Indies
,08-03-2018,Hong Kong,Afghanistan,Bulawayo Athletic Club,Afghanistan,field,30,0,Hong Kong
Dunedin,07-03-2018,England,New Zealand,University Oval,New Zealand,field,0,5,New Zealand
Harare,06-03-2018,West Indies,United Arab Emirates,Old Hararians,West Indies,bat,60,0,West Indies
,06-03-2018,Hong Kong,Scotland,Bulawayo Athletic Club,Scotland,field,0,4,Scotland
Bulawayo,06-03-2018,Zimbabwe,Afghanistan,Queens Sports Club,Zimbabwe,bat,2,0,Zimbabwe
,06-03-2018,Papua New Guinea,Ireland,Harare Sports Club,Ireland,field,0,4,Ireland
,04-03-2018,United Arab Emirates,Papua New Guinea,Harare Sports Club,Papua New Guinea,field,56,0,United Arab Emirates
,04-03-2018,Afghanistan,Scotland,Bulawayo Athletic Club,Scotland,field,0,7,Scotland
Wellington,03-03-2018,England,New Zealand,Westpac Stadium,New Zealand,field,4,0,England
Mount Maunganui,28-02-2018,New Zealand,England,Bay Oval,England,field,0,6,England
Hamilton,25-02-2018,England,New Zealand,Seddon Park,New Zealand,field,0,3,New Zealand
,19-02-2018,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Afghanistan,bat,146,0,Afghanistan
Centurion,16-02-2018,South Africa,India,SuperSport Park,India,field,0,8,India
,16-02-2018,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,Zimbabwe,bat,0,10,Afghanistan
Port Elizabeth,13-02-2018,India,South Africa,St George's Park,South Africa,field,73,0,India
,13-02-2018,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,Zimbabwe,bat,0,6,Afghanistan
,11-02-2018,Zimbabwe,Afghanistan,Sharjah Cricket Stadium,Zimbabwe,bat,154,0,Zimbabwe
Johannesburg,10-02-2018,India,South Africa,The Wanderers Stadium,India,bat,0,5,South Africa
,09-02-2018,Afghanistan,Zimbabwe,Sharjah Cricket Stadium,Afghanistan,bat,154,0,Afghanistan
Cape Town,07-02-2018,India,South Africa,Newlands,South Africa,field,124,0,India
Centurion,04-02-2018,South Africa,India,SuperSport Park,India,field,0,9,India
Durban,01-02-2018,South Africa,India,Kingsmead,South Africa,bat,0,6,India
,28-01-2018,England,Australia,Perth Stadium,Australia,field,12,0,England
Dhaka,27-01-2018,Sri Lanka,Bangladesh,"Shere Bangla National Stadium, Mirpur",Sri Lanka,bat,79,0,Sri Lanka
,26-01-2018,England,Australia,Adelaide Oval,Australia,field,0,3,Australia
Dhaka,25-01-2018,Bangladesh,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,0,10,Sri Lanka
Dubai,23-01-2018,Scotland,United Arab Emirates,ICC Academy,Scotland,bat,0,4,United Arab Emirates
Dhaka,23-01-2018,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,91,0,Bangladesh
Dhaka,21-01-2018,Zimbabwe,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Zimbabwe,bat,0,5,Sri Lanka
,21-01-2018,England,Australia,Sydney Cricket Ground,Australia,field,16,0,England
Dubai,21-01-2018,Scotland,United Arab Emirates,ICC Academy,United Arab Emirates,field,31,0,Scotland
Wellington,19-01-2018,New Zealand,Pakistan,Basin Reserve,New Zealand,bat,15,0,New Zealand
Brisbane,19-01-2018,Australia,England,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,0,4,England
Dhaka,19-01-2018,Bangladesh,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,163,0,Bangladesh
Dubai,18-01-2018,Ireland,Scotland,ICC Academy,Ireland,bat,24,0,Ireland
Dhaka,17-01-2018,Zimbabwe,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Sri Lanka,field,12,0,Zimbabwe
Hamilton,16-01-2018,Pakistan,New Zealand,Seddon Park,Pakistan,bat,0,5,New Zealand
Dubai,16-01-2018,Scotland,Ireland,ICC Academy,Ireland,field,0,6,Ireland
Dhaka,15-01-2018,Zimbabwe,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,0,8,Bangladesh
,14-01-2018,Australia,England,Melbourne Cricket Ground,England,field,0,5,England
Dunedin,13-01-2018,New Zealand,Pakistan,University Oval,New Zealand,bat,183,0,New Zealand
Dubai,13-01-2018,Ireland,United Arab Emirates,ICC Academy,Ireland,bat,67,0,Ireland
Dubai,11-01-2018,United Arab Emirates,Ireland,ICC Academy,Ireland,field,0,4,Ireland
Nelson,09-01-2018,Pakistan,New Zealand,Saxton Oval,Pakistan,bat,0,8,New Zealand
Wellington,06-01-2018,New Zealand,Pakistan,Basin Reserve,Pakistan,field,61,0,New Zealand
Christchurch,26-12-2017,New Zealand,West Indies,Hagley Oval,New Zealand,bat,66,0,New Zealand
Christchurch,23-12-2017,New Zealand,West Indies,Hagley Oval,West Indies,field,204,0,New Zealand
Whangarei,20-12-2017,West Indies,New Zealand,Cobham Oval (New),New Zealand,field,0,5,New Zealand
Visakhapatnam,17-12-2017,Sri Lanka,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,0,8,India
Chandigarh,13-12-2017,India,Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sri Lanka,field,141,0,India
Dharamsala,10-12-2017,India,Sri Lanka,Himachal Pradesh Cricket Association Stadium,Sri Lanka,field,0,7,Sri Lanka
,10-12-2017,Afghanistan,Ireland,Sharjah Cricket Stadium,Afghanistan,bat,0,5,Ireland
,07-12-2017,Ireland,Afghanistan,Sharjah Cricket Stadium,Ireland,bat,51,0,Ireland
Dubai,06-12-2017,Hong Kong,Papua New Guinea,ICC Academy,Papua New Guinea,field,23,0,Hong Kong
,05-12-2017,Afghanistan,Ireland,Sharjah Cricket Stadium,Ireland,field,138,0,Afghanistan
Kanpur,29-10-2017,India,New Zealand,Green Park,New Zealand,field,6,0,India
Pune,25-10-2017,New Zealand,India,Maharashtra Cricket Association Stadium,New Zealand,bat,0,6,India
,23-10-2017,Sri Lanka,Pakistan,Sharjah Cricket Stadium,Sri Lanka,bat,0,9,Pakistan
Mumbai,22-10-2017,India,New Zealand,Wankhede Stadium,India,bat,0,6,New Zealand
East London,22-10-2017,South Africa,Bangladesh,Buffalo Park,South Africa,bat,200,0,South Africa
,20-10-2017,Sri Lanka,Pakistan,Sharjah Cricket Stadium,Sri Lanka,bat,0,7,Pakistan
Paarl,18-10-2017,South Africa,Bangladesh,Boland Park,Bangladesh,field,104,0,South Africa
Abu Dhabi,18-10-2017,Sri Lanka,Pakistan,Sheikh Zayed Stadium,Sri Lanka,bat,0,7,Pakistan
Abu Dhabi,16-10-2017,Pakistan,Sri Lanka,Sheikh Zayed Stadium,Pakistan,bat,32,0,Pakistan
Kimberley,15-10-2017,Bangladesh,South Africa,Diamond Oval,Bangladesh,bat,0,10,South Africa
,13-10-2017,Pakistan,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,field,83,0,Pakistan
Nagpur,01-10-2017,Australia,India,"Vidarbha Cricket Association Stadium, Jamtha",Australia,bat,0,7,India
Southampton,29-09-2017,West Indies,England,The Rose Bowl,England,field,0,9,England
Bengaluru,28-09-2017,Australia,India,M.Chinnaswamy Stadium,Australia,bat,21,0,Australia
London,27-09-2017,West Indies,England,Kennington Oval,England,field,6,0,England
Indore,24-09-2017,Australia,India,Holkar Cricket Stadium,Australia,bat,0,5,India
Bristol,24-09-2017,England,West Indies,County Ground,West Indies,field,124,0,England
Nottingham,21-09-2017,England,West Indies,Trent Bridge,West Indies,field,0,0,
Kolkata,21-09-2017,India,Australia,Eden Gardens,India,bat,50,0,India
Manchester,19-09-2017,West Indies,England,Old Trafford,West Indies,bat,0,7,England
Chennai,17-09-2017,India,Australia,"MA Chidambaram Stadium, Chepauk",India,bat,26,0,India
Colombo,03-09-2017,Sri Lanka,India,"R.Premadasa Stadium, Khettarama",Sri Lanka,bat,0,6,India
Colombo,31-08-2017,India,Sri Lanka,"R.Premadasa Stadium, Khettarama",India,bat,168,0,India
,27-08-2017,Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,bat,0,6,India
,24-08-2017,Sri Lanka,India,Pallekele International Cricket Stadium,India,field,0,3,India
,20-08-2017,Sri Lanka,India,Rangiri Dambulla International Stadium,India,field,0,9,India
Hambantota,10-07-2017,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,field,0,3,Zimbabwe
Hambantota,08-07-2017,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,0,4,Zimbabwe
Jamaica,06-07-2017,West Indies,India,"Sabina Park, Kingston",West Indies,bat,0,8,India
Hambantota,06-07-2017,Sri Lanka,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,field,0,8,Sri Lanka
Antigua,02-07-2017,West Indies,India,"Sir Vivian Richards Stadium, North Sound",West Indies,bat,11,0,West Indies
,02-07-2017,Sri Lanka,Zimbabwe,Galle International Stadium,Sri Lanka,field,0,7,Sri Lanka
Antigua,30-06-2017,West Indies,India,"Sir Vivian Richards Stadium, North Sound",West Indies,field,93,0,India
,30-06-2017,Sri Lanka,Zimbabwe,Galle International Stadium,Sri Lanka,bat,0,6,Zimbabwe
Trinidad,25-06-2017,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,105,0,India
Trinidad,23-06-2017,West Indies,India,"Queen's Park Oval, Port of Spain",West Indies,field,0,0,
London,18-06-2017,India,Pakistan,Kennington Oval,India,field,180,0,Pakistan
Edinburgh,17-06-2017,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place",Scotland,bat,0,6,Zimbabwe
Birmingham,15-06-2017,Bangladesh,India,Edgbaston,India,field,0,9,India
Edinburgh,15-06-2017,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place",Scotland,bat,26,0,Scotland
Cardiff,14-06-2017,England,Pakistan,Sophia Gardens,Pakistan,field,0,8,Pakistan
Cardiff,12-06-2017,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,0,3,Pakistan
St Lucia,11-06-2017,West Indies,Afghanistan,"Darren Sammy National Cricket Stadium, Gros Islet",Afghanistan,bat,0,4,West Indies
London,11-06-2017,India,South Africa,Kennington Oval,India,field,0,8,India
Birmingham,10-06-2017,England,Australia,Edgbaston,England,field,40,0,England
St Lucia,09-06-2017,West Indies,Afghanistan,"Darren Sammy National Cricket Stadium, Gros Islet",Afghanistan,bat,63,0,Afghanistan
Cardiff,09-06-2017,Bangladesh,New Zealand,Sophia Gardens,New Zealand,bat,0,5,Bangladesh
London,08-06-2017,India,Sri Lanka,Kennington Oval,Sri Lanka,field,0,7,Sri Lanka
Birmingham,07-06-2017,Pakistan,South Africa,Edgbaston,South Africa,bat,19,0,Pakistan
Cardiff,06-06-2017,England,New Zealand,Sophia Gardens,New Zealand,field,87,0,England
London,05-06-2017,Australia,Bangladesh,Kennington Oval,Bangladesh,bat,0,0,
Birmingham,04-06-2017,India,Pakistan,Edgbaston,Pakistan,field,124,0,India
London,03-06-2017,South Africa,Sri Lanka,Kennington Oval,Sri Lanka,field,96,0,South Africa
Birmingham,02-06-2017,Australia,New Zealand,Edgbaston,New Zealand,bat,0,0,
London,01-06-2017,England,Bangladesh,Kennington Oval,England,field,0,8,England
London,29-05-2017,England,South Africa,Lord's,South Africa,field,0,7,South Africa
Southampton,27-05-2017,England,South Africa,The Rose Bowl,South Africa,field,2,0,England
Leeds,24-05-2017,England,South Africa,Headingley,South Africa,field,72,0,England
Dublin,24-05-2017,Bangladesh,New Zealand,Clontarf Cricket Club Ground,Bangladesh,field,0,5,Bangladesh
Dublin,21-05-2017,Ireland,New Zealand,Malahide,Ireland,field,190,0,New Zealand
Dublin,19-05-2017,Ireland,Bangladesh,Malahide,Bangladesh,field,0,8,Bangladesh
Dublin,17-05-2017,Bangladesh,New Zealand,Clontarf Cricket Club Ground,New Zealand,field,0,4,New Zealand
Dublin,14-05-2017,Ireland,New Zealand,Malahide,Ireland,field,51,0,New Zealand
Dublin,12-05-2017,Ireland,Bangladesh,Malahide,Ireland,field,0,0,
London,07-05-2017,England,Ireland,Lord's,Ireland,field,85,0,England
Bristol,05-05-2017,England,Ireland,County Ground,Ireland,bat,0,7,England
Guyana,11-04-2017,West Indies,Pakistan,Providence Stadium,West Indies,bat,0,6,Pakistan
Guyana,09-04-2017,West Indies,Pakistan,Providence Stadium,West Indies,field,74,0,Pakistan
Guyana,07-04-2017,West Indies,Pakistan,Providence Stadium,West Indies,field,0,4,West Indies
Abu Dhabi,04-04-2017,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,United Arab Emirates,bat,103,0,United Arab Emirates
Abu Dhabi,02-04-2017,United Arab Emirates,Papua New Guinea,Sheikh Zayed Stadium,Papua New Guinea,bat,26,0,Papua New Guinea
Colombo,01-04-2017,Sri Lanka,Bangladesh,Sinhalese Sports Club Ground,Bangladesh,field,70,0,Sri Lanka
,28-03-2017,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,bat,0,0,
,25-03-2017,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,Sri Lanka,field,90,0,Bangladesh
Greater Noida,24-03-2017,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Ireland,bat,0,7,Afghanistan
Greater Noida,22-03-2017,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Afghanistan,bat,0,3,Ireland
Greater Noida,19-03-2017,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Afghanistan,bat,0,6,Ireland
Greater Noida,17-03-2017,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Afghanistan,bat,34,0,Afghanistan
Greater Noida,15-03-2017,Afghanistan,Ireland,Greater Noida Sports Complex Ground,Afghanistan,bat,30,0,Afghanistan
Barbados,09-03-2017,West Indies,England,"Kensington Oval, Bridgetown",West Indies,field,186,0,England
Antigua,05-03-2017,West Indies,England,"Sir Vivian Richards Stadium, North Sound",West Indies,bat,0,4,England
Auckland,04-03-2017,New Zealand,South Africa,Eden Park,South Africa,field,0,6,South Africa
Dubai,04-03-2017,United Arab Emirates,Ireland,ICC Global Cricket Academy,United Arab Emirates,bat,0,8,Ireland
Antigua,03-03-2017,West Indies,England,"Sir Vivian Richards Stadium, North Sound",West Indies,field,45,0,England
Dubai,02-03-2017,United Arab Emirates,Ireland,ICC Global Cricket Academy,United Arab Emirates,field,85,0,Ireland
Hamilton,01-03-2017,New Zealand,South Africa,Seddon Park,South Africa,bat,0,7,New Zealand
,26-02-2017,Zimbabwe,Afghanistan,Harare Sports Club,Afghanistan,bat,106,0,Afghanistan
Wellington,25-02-2017,New Zealand,South Africa,Westpac Stadium,South Africa,bat,159,0,South Africa
,24-02-2017,Zimbabwe,Afghanistan,Harare Sports Club,Afghanistan,bat,0,7,Zimbabwe
Christchurch,22-02-2017,New Zealand,South Africa,Hagley Oval,South Africa,field,6,0,New Zealand
,21-02-2017,Zimbabwe,Afghanistan,Harare Sports Club,Zimbabwe,bat,3,0,Zimbabwe
,19-02-2017,Zimbabwe,Afghanistan,Harare Sports Club,Afghanistan,bat,54,0,Afghanistan
Hamilton,19-02-2017,New Zealand,South Africa,Seddon Park,South Africa,field,0,4,South Africa
,16-02-2017,Zimbabwe,Afghanistan,Harare Sports Club,Afghanistan,bat,12,0,Afghanistan
Centurion,10-02-2017,South Africa,Sri Lanka,SuperSport Park,Sri Lanka,field,88,0,South Africa
Cape Town,07-02-2017,South Africa,Sri Lanka,Newlands,South Africa,bat,40,0,South Africa
Hamilton,05-02-2017,New Zealand,Australia,Seddon Park,New Zealand,bat,24,0,New Zealand
Johannesburg,04-02-2017,South Africa,Sri Lanka,New Wanderers Stadium,South Africa,field,0,7,South Africa
Durban,01-02-2017,South Africa,Sri Lanka,Kingsmead,Sri Lanka,field,121,0,South Africa
Auckland,30-01-2017,New Zealand,Australia,Eden Park,Australia,field,6,0,New Zealand
Port Elizabeth,28-01-2017,South Africa,Sri Lanka,St George's Park,South Africa,field,0,8,South Africa
,26-01-2017,United Arab Emirates,Hong Kong,Dubai International Cricket Stadium,United Arab Emirates,field,0,6,United Arab Emirates
,26-01-2017,Australia,Pakistan,Adelaide Oval,Australia,bat,57,0,Australia
,24-01-2017,United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,bat,0,4,United Arab Emirates
Abu Dhabi,22-01-2017,Hong Kong,Scotland,Sheikh Zayed Stadium,Hong Kong,field,0,7,Hong Kong
,22-01-2017,Australia,Pakistan,Sydney Cricket Ground,Australia,bat,86,0,Australia
Kolkata,22-01-2017,India,England,Eden Gardens,India,field,5,0,England
Cuttack,19-01-2017,India,England,Barabati Stadium,England,field,15,0,India
Perth,19-01-2017,Australia,Pakistan,Western Australia Cricket Association Ground,Australia,field,0,7,Australia
Pune,15-01-2017,India,England,Maharashtra Cricket Association Stadium,India,field,0,3,India
,15-01-2017,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,0,6,Pakistan
Brisbane,13-01-2017,Australia,Pakistan,"Brisbane Cricket Ground, Woolloongabba",Australia,bat,92,0,Australia
Nelson,31-12-2016,New Zealand,Bangladesh,Saxton Oval,Bangladesh,bat,0,8,New Zealand
Nelson,29-12-2016,New Zealand,Bangladesh,Saxton Oval,Bangladesh,field,67,0,New Zealand
Christchurch,26-12-2016,New Zealand,Bangladesh,Hagley Oval,New Zealand,bat,77,0,New Zealand
,09-12-2016,Australia,New Zealand,Melbourne Cricket Ground,Australia,bat,117,0,Australia
Canberra,06-12-2016,Australia,New Zealand,Manuka Oval,New Zealand,field,116,0,Australia
,04-12-2016,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,68,0,Australia
Bulawayo,27-11-2016,Zimbabwe,Sri Lanka,Queens Sports Club,Zimbabwe,bat,0,6,Sri Lanka
Bulawayo,25-11-2016,Zimbabwe,West Indies,Queens Sports Club,Zimbabwe,bat,5,0,Zimbabwe
Bulawayo,23-11-2016,Sri Lanka,West Indies,Queens Sports Club,West Indies,field,1,0,Sri Lanka
Bulawayo,21-11-2016,Zimbabwe,Sri Lanka,Queens Sports Club,Zimbabwe,bat,0,0,
Bulawayo,19-11-2016,Zimbabwe,West Indies,Queens Sports Club,Zimbabwe,bat,0,0,
